Id;State Name;Total:;Male:;Female:;Uninsured Population (Excluding Undocumented);Age 19-34;Age 35-49;Age 50-64;actuals.cases
AL;Alabama;5039877;2445896;2593981;456100;188500;128300;102400;1375694.0
AK;Alaska;732673;383121;349552;80300;37700;16200;13200;273653.0
AZ;Arizona;7276316;3629620;3646696;698800;253800;166800;133300;2144424.0
AR;Arkansas;3025891;1493681;1532210;257200;99200;72300;48100;878058.0
CA;California;39237836;19618934;19618902;2397600;968800;623300;479900;10298129.0
CO;Colorado;5812069;2943037;2869032;392300;156500;103400;68600;1566803.0
CT;Connecticut;3605597;1768045;1837552;142200;52300;36700;32600;837335.0
DE;Delaware;1003384;485908;517476;57800;24800;11900;12500;288092.0
FL;Florida;21781128;10714520;11066608;2519500;917900;716600;573000;6587030.0
GA;Georgia;10799566;5270144;5529422;1268500;497100;347200;243600;2592728.0
HI;Hawaii;1441553;725604;715949;51200;19000;11300;11200;305348.0
ID;Idaho;1900923;954313;946610;170900;66200;45400;37100;469083.0
IL;Illinois;12671469;6264364;6407105;751100;280300;200000;154400;3481048.0
IN;Indiana;6805985;3374931;3431054;557400;200700;137400;105500;1790148.0
IA;Iowa;3193079;1603267;1589812;135800;52800;33100;31300;802455.0
KS;Kansas;2934582;1474610;1459972;235400;86400;62300;47900;813216.0
KY;Kentucky;4509394;2229328;2280066;274200;103600;81500;46900;1434520.0
LA;Louisiana;4624047;2260866;2363181;391700;151500;111800;83200;1332012.0
ME;Maine;1372247;673483;698764;106400;34400;29300;27700;271596.0
MD;Maryland;6165129;3003091;3162038;241400;99000;59000;50500;1147629.0
MA;Massachusetts;6984723;3408252;3576471;175800;77000;42100;37200;1936447.0
MI;Michigan;10050811;4976869;5073942;561200;221700;144500;121300;2619533.0
MN;Minnesota;5707390;2860668;2846722;242400;94600;58900;47100;1561487.0
MS;Mississippi;2949965;1435423;1514542;390700;158600;114400;75400;848886.0
MO;Missouri;6168187;3045181;3123006;607600;237200;158000;118400;1540944.0
MT;Montana;1104271;560911;543360;87900;26100;20900;24700;289730.0
NE;Nebraska;1963692;986019;977673;133800;48400;32300;28900;504109.0
NV;Nevada;3143991;1585207;1558784;275900;101200;70500;54400;783980.0
NH;New Hampshire;1388992;693234;695758;83500;29600;23900;18500;334373.0
NJ;New Jersey;9267130;4563560;4703570;506900;184600;141300;107300;2522649.0
NM;New Mexico;2115877;1052355;1063522;172500;64400;45800;34800;573339.0
NY;New York;19835912;9696573;10139340;840000;334400;230500;178200;5668334.0
NC;North Carolina;10551162;5149323;5401839;996400;381600;280300;209900;2889199.0
ND;North Dakota;774948;399544;375404;53800;18900;11700;8200;251876.0
OH;Ohio;11780017;5808575;5971442;755500;279700;191900;155800;2867291.0
OK;Oklahoma;3986639;1984707;2001932;546500;212100;148200;108100;1084914.0
OR;Oregon;4246155;2121532;2124623;259300;101000;67300;54300;826600.0
PA;Pennsylvania;12964056;6399632;6564424;703200;256800;178900;149500;3025035.0
RI;Rhode Island;1095610;536589;559021;34700;16100;9000;6400;404604.0
SC;South Carolina;5190705;2521689;2669016;499600;173300;149400;117900;1560139.0
SD;South Dakota;895376;451950;443426;82300;30300;20200;16900;245705.0
TN;Tennessee;6975218;3413181;3562037;621800;229500;179700;139700;2090949.0
TX;Texas;29527940;14739011;14788930;4534900;1712800;1153500;743700;7185050.0
UT;Utah;3337975;1694770;1643205;262500;94900;57400;36700;990012.0
VT;Vermont;645570;320293;325277;25600;9900;7500;6600;136145.0
VA;Virginia;8642274;4273931;4368343;542400;204000;137300;117600;1898849.0
WA;Washington;7738692;3897320;3841372;392400;161100;103300;77500;1692527.0
WV;West Virginia;1782959;887360;895599;123500;42900;37100;28700;539431.0
WI;Wisconsin;5895908;2955249;2940659;297900;119300;73100;58900;1741620.0
WY;Wyoming;578803;296007;282796;67900;22400;16800;14400;165619.0
DC;District of Columbia;670050;319025;351025;22100;11100;5200;3200;158548.0
